REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,ID_ZONA_LOC,NVIV,NHOGAR,PERSONAN,P07,P08,P09,P10,P10COMUNA,P10PAIS,P11,P11COMUNA,P11PAIS,P12,P12COMUNA,P12PAIS,P12A_LLEGADA,P12A_TRAMO,P13,P14,P15,P15A,P16,P16A,P16A_OTRO,P17,P18,P19,P20,P21M,P21A,P10PAIS_GRUPO,P11PAIS_GRUPO,P12PAIS_GRUPO,ESCOLARIDAD,P16A_GRUPO,REGION_15R,PROVINCIA_15R,COMUNA_15R,P10COMUNA_15R,P11COMUNA_15R,P12COMUNA_15R
10,101,10102,1,2,1,9485,1,1,1,1,2,50,1,98,998,2,98,998,1,98,998,9998,98,2,99,99,99,2,98,98,6,98,2,2,3,1999,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,1,1,2,14,1,88,1,98,998,2,98,998,1,98,998,9998,98,2,99,99,99,2,98,98,7,98,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,1,1,3,5,1,18,1,98,998,2,98,998,1,98,998,9998,98,1,4,7,1,2,98,98,5,98,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,1,1,4,14,1,21,1,98,998,2,98,998,2,997,998,9998,98,2,99,99,99,2,98,98,1,Z,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,997
10,101,10102,1,2,1,9485,1,1,5,5,1,23,1,98,998,2,98,998,2,997,998,9998,98,2,2,11,1,2,98,98,1,Z,98,98,98,9998,998,998,998,14,98,10,101,10102,98,98,997
10,101,10102,1,2,1,9485,1,1,6,2,1,51,1,98,998,2,98,998,1,98,998,9998,98,2,99,7,99,2,98,98,1,Z,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,2,1,1,1,2,36,1,98,998,2,98,998,2,10104,998,9998,98,2,1,7,2,2,98,98,1,N,2,2,11,2011,998,998,998,9,98,10,101,10102,98,98,10104
10,101,10102,1,2,1,9485,2,1,2,5,1,12,1,98,998,2,98,998,1,98,998,9998,98,1,6,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,6,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,2,1,3,5,1,5,1,98,998,2,98,998,1,98,998,9998,98,1,0,3,2,2,98,98,98,98,98,98,98,9998,998,998,998,0,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,3,1,1,1,1,38,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,2,98,98,1,A,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,3,1,2,4,2,44,1,98,998,2,98,998,2,10108,998,9998,98,2,8,5,1,2,98,98,1,Z,2,2,9,2003,998,998,998,8,98,10,101,10102,98,98,10108
10,101,10102,1,2,1,9485,3,1,3,5,2,13,1,98,998,2,98,998,1,98,998,9998,98,1,7,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,7,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,3,1,4,5,2,19,1,98,998,2,98,998,1,98,998,9998,98,1,4,8,1,2,98,98,5,98,0,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,5,1,1,1,1,66,1,98,998,99,99,999,2,10107,998,9998,98,2,8,5,1,2,98,98,1,G,98,98,98,9998,998,999,998,8,98,10,101,10102,98,99,10107
10,101,10102,1,2,1,9485,5,1,2,2,2,67,1,98,998,2,98,998,2,10106,998,9998,98,2,6,6,1,2,98,98,1,G,3,3,8,1975,998,998,998,6,98,10,101,10102,98,98,10106
10,101,10102,1,2,1,9485,6,1,1,1,2,34,1,98,998,2,98,998,1,98,998,9998,98,2,3,5,2,2,98,98,6,98,2,2,12,2008,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,6,1,2,5,1,18,1,98,998,2,98,998,1,98,998,9998,98,2,7,5,2,2,98,98,6,98,98,98,98,9998,998,998,998,7,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,6,1,3,5,2,8,1,98,998,2,98,998,99,99,999,9999,99,1,2,5,2,2,98,98,98,98,98,98,98,9998,998,998,999,2,98,10,101,10102,98,98,99
10,101,10102,1,2,1,9485,7,1,1,1,1,69,1,98,998,2,98,998,2,10106,998,9998,98,2,5,6,2,2,98,98,7,98,98,98,98,9998,998,998,998,5,98,10,101,10102,98,98,10106
10,101,10102,1,2,1,9485,7,1,2,2,2,71,1,98,998,2,98,998,2,10109,998,9998,98,2,5,6,2,2,98,98,7,98,1,1,2,1972,998,998,998,5,98,10,101,10102,98,98,10109
10,101,10102,1,2,1,9485,7,1,3,5,2,45,1,98,998,2,98,998,4,98,998,9999,99,2,1,5,2,2,98,98,8,98,0,98,98,9998,998,998,32,1,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,8,1,1,1,1,62,1,98,998,2,98,998,1,98,998,9998,98,2,99,99,99,2,98,98,1,A,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,10,1,1,1,2,41,1,98,998,2,98,998,1,98,998,9998,98,2,6,5,2,1,1,98,6,98,7,7,3,2004,998,998,998,6,1,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,10,1,2,5,1,22,1,98,998,2,98,998,1,98,998,9998,98,2,4,8,1,1,1,98,4,98,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,10,1,3,5,1,17,1,98,998,2,98,998,1,98,998,9998,98,1,3,7,2,1,1,98,5,98,98,98,98,9998,998,998,998,11,1,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,10,1,4,5,1,14,1,98,998,2,98,998,99,99,999,9999,99,1,8,5,1,1,1,98,98,98,98,98,98,9998,998,998,999,8,1,10,101,10102,98,98,99
10,101,10102,1,2,1,9485,10,1,5,5,1,13,1,98,998,2,98,998,1,98,998,9998,98,1,7,5,2,1,1,98,98,98,98,98,98,9998,998,998,998,7,1,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,10,1,6,5,1,13,1,98,998,2,98,998,99,99,999,9999,99,1,7,5,2,1,1,98,98,98,98,98,98,9998,998,998,999,7,1,10,101,10102,98,98,99
10,101,10102,1,2,1,9485,11,1,1,1,1,73,1,98,998,2,98,998,2,9114,998,9998,98,2,6,9,1,1,1,98,7,98,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,9114
10,101,10102,1,2,1,9485,11,1,2,2,2,77,1,98,998,2,98,998,2,13101,998,9998,98,2,4,8,1,2,98,98,6,98,5,5,6,1981,998,998,998,12,98,10,101,10102,98,98,13101
10,101,10102,1,2,1,9485,12,1,1,1,1,82,1,98,998,2,98,998,1,98,998,9998,98,2,3,6,2,2,98,98,7,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,1,9485,14,1,1,1,2,31,1,98,998,3,10108,998,1,98,998,9998,98,2,8,5,1,2,98,98,1,Z,12,12,9,2012,998,998,998,8,98,10,101,10102,98,10108,98
10,101,10102,1,2,1,9485,14,1,2,5,2,9,1,98,998,3,10108,998,2,10108,998,9998,98,1,3,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,10108,10108
10,101,10102,1,2,1,9485,14,1,3,5,1,4,1,98,998,1,98,998,99,99,999,9999,99,1,0,2,1,2,98,98,98,98,98,98,98,9998,998,998,999,0,98,10,101,10102,98,98,99
