ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,2,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,12,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,13,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,14,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,15,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,19,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,22,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,25,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,26,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,29,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,30,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,38,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,39,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,49,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,51,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,55,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,57,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,59,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,63,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,64,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,66,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,70,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,72,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,73,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,87,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,93,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,94,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,97,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,98,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,100,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,107,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,109,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,110,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,112,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,114,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,119,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,120,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,124,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,126,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,129,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
2003,130,1,201,1ª Región,Arica,Arica,15101,ARICA,15101
